Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
APEL DR & TORONTO ST,Casualty,PORT COQUITLAM,2018,1,49.283424,-122.753318
BELLE PL & EASTERN DR & POOLEY AVE,Casualty,PORT COQUITLAM,2018,1,49.243605,-122.776122
BENNECK WAY & COUTTS PL & COUTTS WAY,Casualty,PORT COQUITLAM,2018,1,49.236444,-122.788327
BRIDGET DR & EASTERN DR,Casualty,PORT COQUITLAM,2018,1,49.242652,-122.776216
BROADWAY ST & CAMERON AVE,Casualty,PORT COQUITLAM,2018,1,49.248103,-122.762337
BROADWAY ST & KEBET WAY,Casualty,PORT COQUITLAM,2018,1,49.239267,-122.759935
BROWN ST & LANGAN AVE,Casualty,PORT COQUITLAM,2018,1,49.250176,-122.766756
BROWN ST & MORGAN AVE,Casualty,PORT COQUITLAM,2018,1,49.24917,-122.766748
CAMERON AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,1,49.248161,-122.771939
CEDAR DR & LINCOLN AVE,Casualty,PORT COQUITLAM,2018,1,49.278487,-122.738761
CEDAR DR & LOMBARDY DR,Casualty,PORT COQUITLAM,2018,1,49.275446,-122.738983
CENTENNIAL AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.27605,-122.773832
CENTRAL AVE & MARY HILL RD,Casualty,PORT COQUITLAM,2018,1,49.256094,-122.77855
CENTRAL AVE & TYNER ST,Casualty,PORT COQUITLAM,2018,1,49.256096,-122.775305
CHESTER PL & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.273257,-122.775166
CITADEL DR & NOVA SCOTIA AVE,Casualty,PORT COQUITLAM,2018,1,49.238518,-122.774755
CITADEL DR & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.232315,-122.793768
COAST MERIDIAN RD & GREENMOUNT AVE,Casualty,PORT COQUITLAM,2018,1,49.284303,-122.756063
COAST MERIDIAN RD & INDUSTRIAL AVE,Casualty,PORT COQUITLAM,2018,1,49.245609,-122.756124
COAST MERIDIAN RD & KENT AVE,Casualty,PORT COQUITLAM,2018,1,49.280763,-122.756108
COAST MERIDIAN RD & PATRICIA AVE,Casualty,PORT COQUITLAM,2018,1,49.276568,-122.756165
DEVON RD & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,1,49.271297,-122.731418
DOMINION AVE & FREMONT ST,Casualty,PORT COQUITLAM,2018,1,49.258396,-122.733971
DONALD ST & WILSON AVE,Casualty,PORT COQUITLAM,2018,1,49.260868,-122.781115
