Location,Casualty,PDO,Total,Municipality,2018,2019,2020,2021,2022,PDOFrac,CasualtyFrac,TotalFrac,Treatment,Redlight
100 AVE & 152 ST,25.0,24.0,49.0,SURREY,0,0,1,0,0,0.00022017944624869268,0.0008139080609454356,0.00035070642293763153,0,1
100 AVE & 152 ST,34.0,27.0,61.0,SURREY,0,0,0,1,0,0.0002066416145598151,0.0009414110089710931,0.00036575786829119125,0,1
100 AVE & 152 ST,19.0,36.0,55.0,SURREY,0,0,0,0,1,0.00024048256835383002,0.0005398494104276176,0.00029746773827165837,0,1
100 AVE & 152 ST,40.0,26.0,66.0,SURREY,0,1,0,0,0,0.00017270124677015456,0.0008705682634339566,0.0003358846999430014,0,1
100 AVE & 152 ST,46.0,34.0,80.0,SURREY,1,0,0,0,0,0.0002139373918515023,0.0009574955247491778,0.0003865350514816372,0,1
100 AVE & 154 ST,4.0,8.0,12.0,SURREY,0,0,0,0,1,5.344057074529556e-05,0.0001136525074584458,6.490205198654365e-05,0,0
100 AVE & 154 ST,10.0,5.0,15.0,SURREY,0,1,0,0,0,3.3211778225029724e-05,0.00021764206585848914,7.633743180522759e-05,0,0
100 AVE & 154 ST,1.0,1.0,2.0,SURREY,0,0,1,0,0,9.174143593695528e-06,3.2556322437817424e-05,1.4314547875005369e-05,0,0
100 AVE & 154 ST,4.0,2.0,6.0,SURREY,0,0,0,1,0,1.5306786263690005e-05,0.00011075423634954037,3.597618376634668e-05,0,0
100 AVE & 154 ST,5.0,4.0,9.0,SURREY,1,0,0,0,0,2.516910492370615e-05,0.00010407560051621498,4.348519329168418e-05,0,0
100 AVE & 156 ST,13.0,10.0,23.0,SURREY,1,0,0,0,0,6.292276230926537e-05,0.00027059656134215896,0.00011112882730097069,0,0
100 AVE & 156 ST,16.0,4.0,20.0,SURREY,0,0,0,0,1,2.672028537264778e-05,0.0004546100298337832,0.00010817008664423941,0,0
100 AVE & 156 ST,14.0,10.0,24.0,SURREY,0,1,0,0,0,6.642355645005945e-05,0.0003046988922018848,0.00012213989088836414,0,0
100 AVE & 156 ST,14.0,13.0,27.0,SURREY,0,0,0,1,0,9.949411071398505e-05,0.0003876398272233913,0.00016189282694856004,0,0
100 AVE & 156 ST,13.0,8.0,21.0,SURREY,0,0,1,0,0,7.339314874956423e-05,0.0004232321916916265,0.00015030275268755635,0,0
100 AVE & 160 ST,6.0,4.0,10.0,SURREY,0,0,1,0,0,3.6696574374782114e-05,0.00019533793462690453,7.157273937502685e-05,0,0
100 AVE & 160 ST,10.0,7.0,17.0,SURREY,0,1,0,0,0,4.649648951504162e-05,0.00021764206585848914,8.65157560459246e-05,0,0
100 AVE & 160 ST,10.0,5.0,15.0,SURREY,1,0,0,0,0,3.1461381154632686e-05,0.00020815120103242997,7.247532215280697e-05,0,0
100 AVE & 160 ST,7.0,3.0,10.0,SURREY,0,0,0,1,0,2.296017939553501e-05,0.00019381991361169565,5.996030627724447e-05,0,0
100 AVE & 160 ST,9.0,11.0,20.0,SURREY,0,0,0,0,1,7.34807847747814e-05,0.00025571814178150304,0.00010817008664423941,0,0
100 AVE & KING GEORGE BLVD,35.0,35.0,70.0,SURREY,1,0,0,0,0,0.00022022966808242882,0.0007285292036135049,0.00033821817004643255,0,0
100 AVE & KING GEORGE BLVD,24.0,20.0,44.0,SURREY,0,0,0,1,0,0.00015306786263690007,0.0006645254180972422,0.0002638253476198756,0,0
100 AVE & KING GEORGE BLVD,29.0,31.0,60.0,SURREY,0,0,0,0,1,0.0002070822116380203,0.000823980679073732,0.0003245102599327182,0,0
100 AVE & KING GEORGE BLVD,34.0,26.0,60.0,SURREY,0,1,0,0,0,0.00017270124677015456,0.000739983023918863,0.00030534972722091034,0,0
100 AVE & KING GEORGE BLVD,25.0,17.0,42.0,SURREY,0,0,1,0,0,0.000155960441092824,0.0008139080609454356,0.0003006055053751127,0,0
100 AVE & WHALLEY BLVD,8.0,16.0,24.0,SURREY,1,0,0,0,0,0.0001006764196948246,0.00016652096082594398,0.00011596051544449115,0,0
100 AVE & WHALLEY BLVD,6.0,11.0,17.0,SURREY,0,0,0,1,0,8.418732445029504e-05,0.00016613135452431054,0.00010193252067131559,0,0
100 AVE & WHALLEY BLVD,13.0,23.0,36.0,SURREY,0,1,0,0,0,0.00015277417983513674,0.0002829346856160359,0.0001832098363325462,0,0
100 AVE & WHALLEY BLVD,10.0,6.0,16.0,SURREY,0,0,1,0,0,5.504486156217317e-05,0.00032556322437817426,0.00011451638300004295,0,0
100 AVE & WHALLEY BLVD,5.0,10.0,15.0,SURREY,0,0,0,0,1,6.680071343161946e-05,0.00014206563432305724,8.112756498317956e-05,0,0
101 AVE & 152 ST,31.0,25.0,56.0,SURREY,1,0,0,0,0,0.00015730690577316344,0.0006452687232005328,0.00027057453603714603,0,0
101 AVE & 152 ST,26.0,19.0,45.0,SURREY,0,1,0,0,0,0.00012620475725511296,0.0005658693712320718,0.00022901229541568276,0,0
101 AVE & 152 ST,16.0,9.0,25.0,SURREY,0,0,1,0,0,8.256729234325976e-05,0.0005209011590050788,0.0001789318484375671,0,0
101 AVE & 152 ST,16.0,18.0,34.0,SURREY,0,0,0,0,1,0.00012024128417691501,0.0004546100298337832,0.00018388914729520697,0,0
101 AVE & 152 ST,19.0,15.0,34.0,SURREY,0,0,0,1,0,0.00011480089697767505,0.0005260826226603167,0.00020386504134263118,0,0
102 AVE & 140 ST,11.0,6.0,17.0,SURREY,1,0,0,0,0,3.7753657385559226e-05,0.00022896632113567295,8.21386984398479e-05,0,0
102 AVE & 140 ST,3.0,8.0,11.0,SURREY,0,0,1,0,0,7.339314874956423e-05,9.766896731345227e-05,7.873001331252952e-05,0,0
102 AVE & 140 ST,11.0,4.0,15.0,SURREY,0,0,0,1,0,3.061357252738001e-05,0.00030457414996123603,8.99404594158667e-05,0,0
102 AVE & 140 ST,9.0,3.0,12.0,SURREY,0,0,0,0,1,2.0040214029485833e-05,0.00025571814178150304,6.490205198654365e-05,0,0
102 AVE & 140 ST,4.0,6.0,10.0,SURREY,0,1,0,0,0,3.985413387003567e-05,8.705682634339565e-05,5.089162120348506e-05,0,0
102 AVE & CITY PKY,0.0,3.0,3.0,SURREY,0,1,0,0,0,1.9927066935017835e-05,0.0,1.5267486361045518e-05,0,0
102 AVE & CITY PKY,4.0,9.0,13.0,SURREY,0,0,0,0,1,6.0120642088457504e-05,0.0001136525074584458,7.031055631875561e-05,0,0
102 AVE & CITY PKY,1.0,4.0,5.0,SURREY,0,0,0,1,0,3.061357252738001e-05,2.768855908738509e-05,2.9980153138622234e-05,0,0
102 AVE & CITY PKY,4.0,4.0,8.0,SURREY,1,0,0,0,0,2.516910492370615e-05,8.326048041297199e-05,3.865350514816372e-05,0,0
102 AVE & CITY PKY,1.0,1.0,2.0,SURREY,0,0,1,0,0,9.174143593695528e-06,3.2556322437817424e-05,1.4314547875005369e-05,0,0
102 AVE & KING GEORGE BLVD,25.0,25.0,50.0,SURREY,0,0,0,1,0,0.00019133482829612508,0.0006922139771846273,0.00029980153138622234,0,0
102 AVE & KING GEORGE BLVD,35.0,37.0,72.0,SURREY,1,0,0,0,0,0.0002328142205442819,0.0007285292036135049,0.00034788154633347344,0,0
102 AVE & KING GEORGE BLVD,20.0,30.0,50.0,SURREY,0,1,0,0,0,0.00019927066935017835,0.0004352841317169783,0.0002544581060174253,0,0
102 AVE & KING GEORGE BLVD,17.0,20.0,37.0,SURREY,0,0,1,0,0,0.00018348287187391058,0.0005534574814428962,0.0002648191356875993,0,0
102 AVE & KING GEORGE BLVD,17.0,32.0,49.0,SURREY,0,0,0,0,1,0.00021376228298118223,0.00048302315669839467,0.0002650167122783865,0,0
102 AVE & WHALLEY BLVD,3.0,4.0,7.0,SURREY,0,0,0,1,0,3.061357252738001e-05,8.306567726215527e-05,4.1972214394071124e-05,0,0
102 AVE & WHALLEY BLVD,4.0,10.0,14.0,SURREY,1,0,0,0,0,6.292276230926537e-05,8.326048041297199e-05,6.764363400928651e-05,0,0
102 AVE & WHALLEY BLVD,13.0,4.0,17.0,SURREY,0,1,0,0,0,2.6569422580023778e-05,0.0002829346856160359,8.65157560459246e-05,0,0
102 AVE & WHALLEY BLVD,2.0,3.0,5.0,SURREY,0,0,1,0,0,2.7522430781086585e-05,6.511264487563485e-05,3.578636968751342e-05,0,0
102 AVE & WHALLEY BLVD,2.0,4.0,6.0,SURREY,0,0,0,0,1,2.672028537264778e-05,5.68262537292229e-05,3.2451025993271823e-05,0,0
102A AVE & 152 ST & MALL ACCESS,20.0,19.0,39.0,SURREY,0,0,0,0,1,0.00012692135552007695,0.000568262537292229,0.00021093166895626682,0,0
102A AVE & 152 ST & MALL ACCESS,37.0,23.0,60.0,SURREY,0,1,0,0,0,0.00015277417983513674,0.0008052756436764097,0.00030534972722091034,0,0
102A AVE & 152 ST & MALL ACCESS,16.0,15.0,31.0,SURREY,0,0,1,0,0,0.00013761215390543292,0.0005209011590050788,0.0002218754920625832,0,0
102A AVE & 152 ST & MALL ACCESS,30.0,22.0,52.0,SURREY,1,0,0,0,0,0.00013843007708038384,0.0006244536030972898,0.00025124778346306413,0,0
102A AVE & 152 ST & MALL ACCESS,24.0,33.0,57.0,SURREY,0,0,0,1,0,0.00025256197335088513,0.0006645254180972422,0.00034177374578029345,0,0
103 AVE & 160 ST,5.0,2.0,7.0,SURREY,0,0,1,0,0,1.8348287187391057e-05,0.00016278161218908713,5.010091756251879e-05,0,0
103 AVE & 160 ST,6.0,9.0,15.0,SURREY,0,1,0,0,0,5.97812008050535e-05,0.00013058523951509348,7.633743180522759e-05,0,0
103 AVE & 160 ST,7.0,9.0,16.0,SURREY,1,0,0,0,0,5.663048607833884e-05,0.00014570584072270097,7.730701029632744e-05,0,0
103 AVE & 160 ST,6.0,8.0,14.0,SURREY,0,0,0,0,1,5.344057074529556e-05,0.0001704787611876687,7.571906065096758e-05,0,0
103 AVE & 160 ST,5.0,4.0,9.0,SURREY,0,0,0,1,0,3.061357252738001e-05,0.00013844279543692546,5.3964275649520015e-05,0,0
103A AVE & GRACE RD,1.0,2.0,3.0,SURREY,0,0,0,0,1,1.336014268632389e-05,2.841312686461145e-05,1.6225512996635912e-05,0,0
103A AVE & GRACE RD,8.0,6.0,14.0,SURREY,0,0,1,0,0,5.504486156217317e-05,0.0002604505795025394,0.00010020183512503758,0,0
103A AVE & GRACE RD,4.0,3.0,7.0,SURREY,0,0,0,1,0,2.296017939553501e-05,0.00011075423634954037,4.1972214394071124e-05,0,0
103A AVE & GRACE RD,4.0,6.0,10.0,SURREY,0,1,0,0,0,3.985413387003567e-05,8.705682634339565e-05,5.089162120348506e-05,0,0
103A AVE & GRACE RD,3.0,5.0,8.0,SURREY,1,0,0,0,0,3.1461381154632686e-05,6.244536030972898e-05,3.865350514816372e-05,0,0
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,2.0,5.0,7.0,SURREY,0,0,0,1,0,3.8266965659225017e-05,5.537711817477018e-05,4.1972214394071124e-05,0,0
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,9.0,11.0,20.0,SURREY,0,0,0,0,1,7.34807847747814e-05,0.00025571814178150304,0.00010817008664423941,0,0
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,7.0,7.0,14.0,SURREY,0,1,0,0,0,4.649648951504162e-05,0.0001523494461009424,7.124826968487908e-05,0,0
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,9.0,22.0,31.0,SURREY,1,0,0,0,0,0.00013843007708038384,0.00018733608092918696,0.0001497823324491344,0,0
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,2.0,2.0,4.0,SURREY,0,0,1,0,0,1.8348287187391057e-05,6.511264487563485e-05,2.8629095750010737e-05,0,0
103A AVE & SCOTT RD & TURNING LANE,34.0,22.0,56.0,SURREY,0,0,0,1,0,0.00016837464890059008,0.0009414110089710931,0.000335777715152569,0,0
103A AVE & SCOTT RD & TURNING LANE,20.0,17.0,37.0,SURREY,1,0,0,0,0,0.00010696869592575115,0.00041630240206485993,0.0001787724613102572,0,0
103A AVE & SCOTT RD & TURNING LANE,14.0,21.0,35.0,SURREY,0,0,1,0,0,0.0001926570154676061,0.00045578851412944393,0.00025050458781259393,0,0
103A AVE & SCOTT RD & TURNING LANE,17.0,20.0,37.0,SURREY,0,1,0,0,0,0.0001328471129001189,0.0003699915119594315,0.0001882989984528947,0,0
103A AVE & SCOTT RD & TURNING LANE,22.0,35.0,57.0,SURREY,0,0,0,0,1,0.00023380249701066808,0.0006250887910214519,0.0003082847469360823,0,0
104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & EMERGENCY LANE & TURNING LANE,53.0,72.0,125.0,SURREY,0,0,0,0,1,0.00048096513670766003,0.0015058957238244068,0.0006760630415264963,0,0
104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & EMERGENCY LANE & TURNING LANE,63.0,68.0,131.0,SURREY,0,1,0,0,0,0.00045168018386040426,0.0013711450149084816,0.0006666802377656543,0,0
104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & EMERGENCY LANE & TURNING LANE,68.0,62.0,130.0,SURREY,1,0,0,0,0,0.00039012112631744533,0.0014154281670205238,0.0006281194586576604,0,0
104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & EMERGENCY LANE & TURNING LANE,52.0,40.0,92.0,SURREY,0,0,1,0,0,0.00036696574374782116,0.001692928766766506,0.0006584692022502469,0,0
104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & EMERGENCY LANE & TURNING LANE,51.0,47.0,98.0,SURREY,0,0,0,1,0,0.0003597094771967152,0.0014121165134566398,0.0005876110015169958,0,0
104 AVE & 104 AVE ONRAMP & HWY 17 & TURNING LANE,37.0,57.0,94.0,SURREY,1,0,0,0,0,0.00035865974516281264,0.0007701594438199908,0.0004541786854909237,0,0
104 AVE & 104 AVE ONRAMP & HWY 17 & TURNING LANE,28.0,43.0,71.0,SURREY,0,0,0,0,1,0.0002872430677559636,0.0007955675522091206,0.00038400380758704986,0,0
104 AVE & 104 AVE ONRAMP & HWY 17 & TURNING LANE,33.0,47.0,80.0,SURREY,0,1,0,0,0,0.0003121907153152794,0.0007182188173330142,0.0004071329696278805,0,0
104 AVE & 104 AVE ONRAMP & HWY 17 & TURNING LANE,29.0,46.0,75.0,SURREY,0,0,0,1,0,0.00035205608406487014,0.0008029682135341677,0.0004497022970793335,0,0
104 AVE & 104 AVE ONRAMP & HWY 17 & TURNING LANE,26.0,41.0,67.0,SURREY,0,0,1,0,0,0.00037613988734151667,0.000846464383383253,0.0004795373538126798,0,0
104 AVE & 128 ST,11.0,10.0,21.0,SURREY,0,0,0,1,0,7.653393131845003e-05,0.00030457414996123603,0.00012591664318221339,0,0
104 AVE & 128 ST,7.0,9.0,16.0,SURREY,0,1,0,0,0,5.97812008050535e-05,0.0001523494461009424,8.14265939255761e-05,0,0
104 AVE & 128 ST,11.0,4.0,15.0,SURREY,0,0,1,0,0,3.6696574374782114e-05,0.0003581195468159917,0.00010735910906254026,0,0
104 AVE & 128 ST,12.0,9.0,21.0,SURREY,0,0,0,0,1,6.0120642088457504e-05,0.0003409575223753374,0.00011357859097645137,0,0
104 AVE & 128 ST,9.0,8.0,17.0,SURREY,1,0,0,0,0,5.03382098474123e-05,0.00018733608092918696,8.21386984398479e-05,0,0
104 AVE & 132 ST,14.0,7.0,21.0,SURREY,0,1,0,0,0,4.649648951504162e-05,0.0003046988922018848,0.00010687240452731863,0,0
104 AVE & 132 ST,10.0,6.0,16.0,SURREY,0,0,0,0,1,4.008042805897167e-05,0.0002841312686461145,8.653606931539152e-05,0,0
104 AVE & 132 ST,17.0,11.0,28.0,SURREY,0,0,0,1,0,8.418732445029504e-05,0.00047070550448554657,0.0001678888575762845,0,0
104 AVE & 132 ST,11.0,13.0,24.0,SURREY,0,0,1,0,0,0.00011926386671804187,0.0003581195468159917,0.0001717745745000644,0,0
104 AVE & 132 ST,5.0,14.0,19.0,SURREY,1,0,0,0,0,8.809186723297153e-05,0.00010407560051621498,9.180207472688883e-05,0,0
104 AVE & 138 ST,2.0,2.0,4.0,SURREY,0,0,1,0,0,1.8348287187391057e-05,6.511264487563485e-05,2.8629095750010737e-05,0,0
104 AVE & 138 ST,1.0,6.0,7.0,SURREY,0,0,0,0,1,4.008042805897167e-05,2.841312686461145e-05,3.785953032548379e-05,0,0
104 AVE & 138 ST,5.0,1.0,6.0,SURREY,0,1,0,0,0,6.6423556450059445e-06,0.00010882103292924457,3.0534972722091036e-05,0,0
104 AVE & 138 ST,1.0,4.0,5.0,SURREY,0,0,0,1,0,3.061357252738001e-05,2.768855908738509e-05,2.9980153138622234e-05,0,0
104 AVE & 138 ST,4.0,8.0,12.0,SURREY,1,0,0,0,0,5.03382098474123e-05,8.326048041297199e-05,5.7980257722245574e-05,0,0
104 AVE & 140 ST,24.0,23.0,47.0,SURREY,0,1,0,0,0,0.00015277417983513674,0.0005223409580603739,0.00023919061965637977,0,0
104 AVE & 140 ST,26.0,13.0,39.0,SURREY,0,0,1,0,0,0.00011926386671804187,0.000846464383383253,0.00027913368356260467,0,0
104 AVE & 140 ST,37.0,28.0,65.0,SURREY,0,0,0,0,1,0.00018704199760853445,0.0010512856939906238,0.00035155278159377807,0,0
104 AVE & 140 ST,27.0,18.0,45.0,SURREY,0,0,0,1,0,0.00013776107637321005,0.0007475910953593975,0.0002698213782476001,0,0
104 AVE & 140 ST,28.0,22.0,50.0,SURREY,1,0,0,0,0,0.00013843007708038384,0.0005828233628908039,0.00024158440717602324,0,0
104 AVE & 144 ST,22.0,14.0,36.0,SURREY,1,0,0,0,0,8.809186723297153e-05,0.0004579326422713459,0.00017394077316673672,0,0
104 AVE & 144 ST,13.0,7.0,20.0,SURREY,0,0,1,0,0,6.42190051558687e-05,0.0004232321916916265,0.0001431454787500537,0,0
104 AVE & 144 ST,17.0,15.0,32.0,SURREY,0,0,0,0,1,0.00010020107014742918,0.00048302315669839467,0.00017307213863078304,0,0
104 AVE & 144 ST,14.0,12.0,26.0,SURREY,0,0,0,1,0,9.184071758214005e-05,0.0003876398272233913,0.00015589679632083562,0,0
104 AVE & 144 ST,17.0,6.0,23.0,SURREY,0,1,0,0,0,3.985413387003567e-05,0.0003699915119594315,0.00011705072876801563,0,0
104 AVE & 146 ST,10.0,6.0,16.0,SURREY,1,0,0,0,0,3.7753657385559226e-05,0.00020815120103242997,7.730701029632744e-05,0,0
104 AVE & 146 ST,4.0,4.0,8.0,SURREY,0,0,1,0,0,3.6696574374782114e-05,0.0001302252897512697,5.7258191500021474e-05,0,0
104 AVE & 146 ST,2.0,7.0,9.0,SURREY,0,0,0,0,1,4.676049940213361e-05,5.68262537292229e-05,4.867653898990773e-05,0,0
104 AVE & 146 ST,6.0,4.0,10.0,SURREY,0,1,0,0,0,2.6569422580023778e-05,0.00013058523951509348,5.089162120348506e-05,0,0
104 AVE & 146 ST,4.0,5.0,9.0,SURREY,0,0,0,1,0,3.8266965659225017e-05,0.00011075423634954037,5.3964275649520015e-05,0,0
104 AVE & 148 ST,12.0,12.0,24.0,SURREY,0,0,1,0,0,0.00011008972312434634,0.00039067586925380907,0.0001717745745000644,0,0
104 AVE & 148 ST,20.0,26.0,46.0,SURREY,0,0,0,1,0,0.0001989882214279701,0.0005537711817477018,0.0002758174088753245,0,0
104 AVE & 148 ST,29.0,20.0,49.0,SURREY,0,1,0,0,0,0.0001328471129001189,0.0006311619909896185,0.0002493689438970768,0,0
104 AVE & 148 ST,16.0,25.0,41.0,SURREY,0,0,0,0,1,0.00016700178357904863,0.0004546100298337832,0.00022174867762069078,0,0
104 AVE & 148 ST,36.0,23.0,59.0,SURREY,1,0,0,0,0,0.00014472235331131037,0.0007493443237167478,0.0002850696004677074,0,0
104 AVE & 150 ST,17.0,13.0,30.0,SURREY,0,0,1,0,0,0.00011926386671804187,0.0005534574814428962,0.00021471821812508052,0,0
104 AVE & 150 ST,22.0,26.0,48.0,SURREY,0,1,0,0,0,0.00017270124677015456,0.00047881254488867607,0.0002442797817767283,0,0
104 AVE & 150 ST,34.0,21.0,55.0,SURREY,1,0,0,0,0,0.00013213780084945728,0.0007077140835102619,0.00026574284789362555,0,0
104 AVE & 150 ST,13.0,20.0,33.0,SURREY,0,0,0,0,1,0.0001336014268632389,0.00036937064923994885,0.000178480642962995,0,0
104 AVE & 150 ST,19.0,22.0,41.0,SURREY,0,0,0,1,0,0.00016837464890059008,0.0005260826226603167,0.0002458372557367023,0,0
104 AVE & 152 ST,67.0,60.0,127.0,SURREY,1,0,0,0,0,0.00037753657385559226,0.0013946130469172807,0.000613624394227099,0,1
104 AVE & 152 ST,31.0,54.0,85.0,SURREY,0,0,1,0,0,0.0004954037540595586,0.0010092459955723403,0.0006083682846877281,0,1
104 AVE & 152 ST,37.0,61.0,98.0,SURREY,0,0,0,0,1,0.0004074843519328786,0.0010512856939906238,0.000530033424556773,0,1
104 AVE & 152 ST,34.0,61.0,95.0,SURREY,0,0,0,1,0,0.0004668569810425452,0.0009414110089710931,0.0005696229096338224,0,1
